Date,DBC,EEM,EFA,EWZ,SHY,TLT,TQQQ,UPRO,UVXY
2012-02-27,29.43,44.36,55.38,70.07,84.43,118.15,105.0,78.62,5.7
2012-02-28,29.32,44.31,54.7,69.16,84.42,117.48,103.62,77.46,5.48
2012-02-29,29.78,44.76,55.28,70.42,84.36,116.1,106.11,78.96,5.29
2012-03-01,29.48,44.64,54.76,70.3,84.4,117.14,105.78,78.23,5.34
2012-03-02,29.34,43.87,54.48,68.99,84.39,116.26,102.57,77.22,5.31
2012-03-05,28.86,42.38,52.74,66.63,84.4,117.59,99.58,73.71,6.12
2012-03-06,28.99,42.91,53.39,67.08,84.38,116.92,101.84,75.36,5.52
2012-03-07,29.23,43.81,54.53,68.02,84.36,115.75,105.07,77.56,30.49
2012-03-08,29.31,43.79,54.37,67.26,84.34,115.96,106.39,78.47,29.24
2012-03-09,29.25,43.3,54.21,66.27,84.34,115.97,106.57,78.52,26.58
2012-03-12,29.4,44.51,55.08,68.16,84.29,113.91,112.51,82.83,24.11
2012-03-13,29.2,43.77,54.63,67.8,84.18,111.06,113.77,82.49,25.69
2012-03-14,29.22,44.15,55.13,67.66,84.23,111.2,114.68,83.77,24.9
2012-03-15,29.58,44.09,55.49,67.54,84.28,111.42,114.39,84.39,24.77
2012-03-16,29.53,43.92,55.8,67.49,84.22,110.15,116.88,85.26,21.89
2012-03-19,29.17,43.16,55.15,66.57,84.19,110.52,117.52,84.47,19.74
2012-03-20,29.1,43.24,54.76,66.56,84.25,111.79,117.48,84.13,17.76
2012-03-21,28.87,42.57,54.37,65.41,84.25,112.15,116.77,82.25,18.21
2012-03-22,29.15,42.9,54.78,65.83,84.27,113.19,116.61,83.16,15.7
2012-03-23,29.28,43.65,55.47,66.93,84.29,112.66,122.7,86.52,12.79
2012-03-26,29.16,43.43,55.14,66.36,84.32,113.44,123.17,85.74,15.26
2012-03-27,28.88,42.69,54.75,64.92,84.3,113.3,121.73,84.49,15.43
2012-03-28,28.48,42.64,54.42,64.88,84.32,114.13,120.48,84.08,15.38
2012-03-29,28.78,42.94,54.9,64.74,84.32,112.21,119.64,84.88,14.58
2012-03-30,29.17,43.54,55.51,65.36,84.31,112.53,123.29,86.78,14.51
2012-04-02,29.04,43.3,54.57,64.76,84.25,110.61,123.3,85.87,15.06
2012-04-03,28.58,42.48,53.35,63.59,84.27,112.09,118.27,83.36,15.67
2012-04-04,28.7,42.74,53.02,63.57,84.29,112.9,120.43,83.15,16.36
2012-04-05,28.57,42.1,52.78,63.08,84.35,115.53,117.66,80.46,18.41
2012-04-09,28.19,41.28,51.67,61.84,84.4,116.86,112.04,76.21,21.45
2012-04-10,28.26,41.73,52.38,61.86,84.39,115.48,113.6,78.0,20.42
2012-04-11,28.63,42.79,53.33,63.63,84.4,115.0,117.41,81.33,16.92
2012-04-12,28.34,42.17,52.34,62.5,84.41,116.81,112.21,78.25,18.56
2012-04-13,28.07,41.94,52.68,62.1,84.42,116.67,108.58,78.01,17.9
2012-04-16,28.19,42.43,53.54,62.26,84.42,116.61,115.03,81.67,15.98
2012-04-17,27.92,42.23,53.28,61.92,84.43,116.93,114.15,80.82,16.48
2012-04-18,27.93,42.04,52.94,61.6,84.43,117.05,110.44,79.26,16.67
2012-04-19,28.04,42.3,53.43,62.13,84.43,117.08,109.23,79.59,15.63
2012-04-20,27.99,41.52,52.38,60.83,84.46,117.92,106.45,77.65,16.6
2012-04-23,28.0,41.61,52.8,61.16,84.44,117.11,104.62,78.55,15.87
2012-04-24,28.15,42.0,53.52,60.69,84.45,116.5,112.93,81.8,13.92
2012-04-25,28.21,42.26,53.84,60.97,84.46,117.19,114.95,83.42,12.92
2012-04-26,28.3,42.31,54.06,60.8,84.44,117.3,116.92,83.8,12.82
