Date,BIL,SQQQ,TQQQ,UPRO
2011-11-23,45.85,24.23,58.25,47.61
2011-11-25,45.85,21.7,64.21,51.92
2011-11-28,45.83,22.13,63.05,52.3
2011-11-29,45.84,19.74,69.97,58.87
2011-11-30,45.83,19.26,71.47,58.71
2011-12-01,45.84,19.42,70.79,58.51
2011-12-02,45.84,18.79,73.11,60.52
2011-12-05,45.85,18.92,72.55,60.57
2011-12-06,45.84,18.96,72.66,61.28
2011-12-07,45.84,19.87,68.96,57.18
2011-12-08,45.83,18.93,72.23,60.11
2011-12-09,45.83,19.52,69.86,57.52
2011-12-12,45.83,20.21,67.5,55.83
2011-12-13,45.84,21.13,64.36,54.0
2011-12-14,45.83,21.32,63.86,54.58
2011-12-15,45.84,21.03,64.66,54.91
2011-12-16,45.84,21.58,62.87,53.1
2011-12-19,45.84,19.7,68.45,57.94
2011-12-20,45.84,20.49,65.6,58.29
2011-12-21,45.84,20.01,67.2,59.98
2011-12-22,45.84,19.48,68.94,61.39
2011-12-23,45.83,19.33,69.47,61.43
2011-12-27,45.83,19.95,67.24,59.26
2011-12-28,45.83,19.54,68.54,60.95
2011-12-29,45.83,19.69,67.99,60.15
2011-12-30,45.82,18.59,71.84,63.06
2012-01-03,45.82,18.34,72.72,63.18
2012-01-04,45.82,17.87,74.51,63.8
2012-01-05,45.82,17.69,75.28,63.33
2012-01-06,45.83,17.85,74.65,63.66
2012-01-09,45.83,17.48,76.18,65.3
2012-01-10,45.82,17.37,76.71,65.44
2012-01-11,45.82,17.13,77.62,65.9
2012-01-12,45.82,17.32,76.73,65.2
2012-01-13,45.82,16.9,78.79,65.59
2012-01-17,45.82,16.21,81.92,67.72
2012-01-18,45.82,15.88,83.56,68.9
2012-01-19,45.82,15.94,83.19,68.99
2012-01-20,45.82,15.94,83.18,69.04
2012-01-23,45.82,16.02,82.75,68.84
2012-01-24,45.82,15.42,85.89,70.53
2012-01-25,45.82,15.58,84.97,69.54
2012-01-26,45.82,15.43,85.79,69.38
2012-01-27,45.83,15.38,85.94,68.67
2012-01-30,45.82,15.33,86.25,68.51
2012-01-31,45.82,14.97,88.39,70.34
2012-02-01,45.82,14.82,89.27,70.61
2012-02-02,45.82,14.22,92.86,73.73
2012-02-03,45.83,14.23,92.74,73.56
2012-02-06,45.82,14.13,93.14,74.12
2012-02-07,45.83,13.93,94.66,74.66
2012-02-08,45.82,13.62,96.79,74.97
2012-02-09,45.83,13.9,94.72,73.5
2012-02-10,45.82,13.51,97.36,75.0
2012-02-13,45.83,13.41,98.12,74.71
2012-02-14,45.82,13.71,96.0,73.64
2012-02-15,45.83,13.12,99.94,76.02
2012-02-16,45.82,13.24,99.09,76.74
2012-02-17,45.82,13.13,99.93,76.87
2012-02-21,45.82,13.3,98.61,75.99
2012-02-22,45.82,13.05,100.51,77.14
2012-02-23,45.83,12.91,101.46,77.53
2012-02-24,45.82,12.86,101.95,77.88
2012-02-27,45.82,12.48,105.0,78.62
2012-02-28,45.83,12.64,103.62,77.46
2012-02-29,45.82,12.32,106.11,78.96
2012-03-01,45.82,12.36,105.78,78.23
2012-03-02,45.82,12.74,102.57,77.22
2012-03-05,45.82,13.11,99.58,73.71
2012-03-06,45.82,12.82,101.84,75.36
2012-03-07,45.83,12.39,105.07,77.56
2012-03-08,45.83,12.25,106.39,78.47
2012-03-09,45.82,12.25,106.57,78.52
2012-03-12,45.83,11.53,112.51,82.83
2012-03-13,45.82,11.4,113.77,82.49
2012-03-14,45.82,11.32,114.68,83.77
2012-03-15,45.82,11.35,114.39,84.39
2012-03-16,45.83,11.09,116.88,85.26
2012-03-19,45.83,11.03,117.52,84.47
2012-03-20,45.83,11.01,117.48,84.13
2012-03-21,45.83,11.1,116.77,82.25
2012-03-22,45.83,11.11,116.61,83.16
2012-03-23,45.83,10.52,122.7,86.52
2012-03-26,45.82,10.48,123.17,85.74
2012-03-27,45.83,10.6,121.73,84.49
2012-03-28,45.82,10.73,120.48,84.08
2012-03-29,45.82,10.79,119.64,84.88
2012-03-30,45.81,10.45,123.29,86.78
2012-04-02,45.82,10.46,123.3,85.87
2012-04-03,45.81,10.89,118.27,83.36
2012-04-04,45.82,10.68,120.43,83.15
2012-04-05,45.83,10.93,117.66,80.46
2012-04-09,45.83,11.44,112.04,76.21
2012-04-10,45.83,11.29,113.6,78.0
2012-04-11,45.82,10.89,117.41,81.33
2012-04-12,45.81,11.39,112.21,78.25
2012-04-13,45.82,11.74,108.58,78.01
2012-04-16,45.82,11.04,115.03,81.67
2012-04-17,45.82,11.13,114.15,80.82
2012-04-18,45.83,11.49,110.44,79.26
2012-04-19,45.82,11.62,109.23,79.59
2012-04-20,45.83,11.9,106.45,77.65
2012-04-23,45.83,12.11,104.62,78.55
2012-04-24,45.82,11.14,112.93,81.8
2012-04-25,45.83,10.95,114.95,83.42
2012-04-26,45.83,10.76,116.92,83.8
2012-04-27,45.83,10.97,114.49,82.77
2012-04-30,45.83,10.92,115.14,84.33
2012-05-01,45.83,10.84,115.9,83.67
2012-05-02,45.82,11.16,112.3,81.83
2012-05-03,45.82,12.0,104.06,77.8
2012-05-04,45.83,11.97,104.21,77.91
2012-05-07,45.83,12.11,102.99,76.99
2012-05-08,45.83,12.17,102.5,75.65
2012-05-09,45.83,12.29,101.43,76.04
2012-05-10,45.83,49.21,50.73,75.34
2012-05-11,45.83,50.58,49.27,72.91
2012-05-14,45.83,51.06,48.84,71.64
2012-05-15,45.83,52.14,47.78,70.81
2012-05-16,45.83,55.44,44.84,67.52
2012-05-17,45.83,57.43,43.04,65.85
2012-05-18,45.83,52.77,46.66,69.24
2012-05-21,45.82,53.07,46.49,69.38
2012-05-22,45.82,52.6,46.75,69.67
2012-05-23,45.83,53.59,45.91,70.15
2012-05-24,45.83,53.89,45.63,69.44
2012-05-25,45.83,51.8,47.32,71.97
2012-05-29,45.83,53.09,46.21,68.8
2012-05-30,45.83,53.79,45.62,68.54
2012-05-31,45.83,58.07,41.96,63.22
2012-06-01,45.83,56.8,42.86,63.2
2012-06-04,45.83,56.03,43.45,64.42
2012-06-05,45.82,52.14,46.42,68.98
2012-06-06,45.82,52.76,45.9,68.95
2012-06-07,45.82,51.2,47.24,70.63
2012-06-08,45.82,53.61,44.99,68.01
2012-06-11,45.83,51.88,46.41,70.42
2012-06-12,45.83,53.01,45.5,68.89
2012-06-13,45.83,52.3,46.01,71.18
2012-06-14,45.82,50.27,47.7,73.22
2012-06-15,45.83,49.01,48.94,73.67
2012-06-18,45.81,47.44,50.55,75.82
2012-06-19,45.81,47.28,50.72,75.44
2012-06-20,45.83,50.81,46.93,70.39
2012-06-21,45.82,49.14,48.37,71.99
2012-06-22,45.83,52.1,45.5,68.48
2012-06-25,45.83,51.09,46.43,69.59
2012-06-26,45.82,50.17,47.25,71.51
2012-06-27,45.83,51.74,45.55,70.84
2012-06-28,45.81,46.92,50.0,76.23
2012-06-29,45.81,46.45,50.4,76.73
2012-07-02,45.81,45.37,51.6,78.33
2012-07-03,45.81,45.25,51.78,77.23
2012-07-05,45.81,46.92,49.74,75.04
