Date,AGG,BIL,CURE,DBC,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,IYK,MVV,PUI,QLD,SHY,SOXL,SOXS,SPXL,SPXS,SPXU,SQQQ,TECL,TECS,TMF,TMV,TQQQ,UCO,UGE,UPRO,USD,UUP,UVXY,VIXY,YCS
2012-07-24,112.66,45.82,45.95,27.32,38.2,49.19,16.39,42.8,22.08,51.0,156.73,72.03,61.68,17.08,52.01,84.52,25.73,40.56,75.48,21.15,47.2,47.94,46.74,10.7,91.12,46.76,48.07,30.59,87.84,75.48,33.11,22.75,7.59,28.89,41.61
2012-07-26,112.45,45.82,47.11,27.29,38.86,49.8,16.41,45.0,21.98,52.3,157.65,72.79,62.23,17.3,52.57,84.5,26.3,40.07,77.05,20.68,46.15,47.09,47.69,10.49,87.66,48.41,48.92,30.31,90.0,77.1,33.41,22.71,6.71,27.16,41.84
2012-07-27,112.59,45.81,48.14,27.58,39.51,50.24,16.73,46.78,22.12,53.45,157.59,73.49,63.46,17.59,54.36,84.55,27.86,37.88,79.71,19.93,44.46,44.61,50.26,9.9,87.5,48.46,51.42,30.22,90.62,79.73,33.89,22.75,7.48,28.8,41.64
2012-07-31,112.4,45.82,45.14,27.02,38.75,49.45,16.5,44.64,22.46,52.01,154.68,72.48,60.52,17.3,53.0,84.51,26.76,38.73,76.31,20.76,46.31,46.34,48.75,10.23,87.48,48.38,49.45,28.66,88.56,76.4,33.5,22.9,7.63,29.11,41.69
2012-08-02,112.12,45.82,47.54,27.45,39.99,51.19,16.97,47.32,21.75,53.38,155.94,73.75,63.66,17.51,56.07,84.49,29.55,35.15,81.7,19.34,43.14,42.47,52.44,9.46,83.57,50.42,53.83,31.0,91.78,81.81,35.74,22.63,5.82,25.46,41.7
2012-08-06,111.84,45.82,46.93,27.8,40.23,51.77,17.28,48.46,21.56,54.63,156.37,74.04,64.89,17.43,56.82,84.47,30.08,34.24,82.56,19.15,42.73,41.55,53.55,9.25,80.29,52.48,54.96,32.31,91.62,82.61,36.35,22.56,5.53,24.82,41.97
2012-08-07,111.87,45.82,47.16,27.92,40.15,51.47,17.14,48.9,21.91,54.32,156.49,73.78,64.79,17.26,56.94,84.44,31.0,33.08,81.88,19.29,43.04,41.39,53.7,9.24,80.68,52.22,55.05,33.01,91.61,81.98,36.89,22.67,5.97,25.87,41.89
2012-08-08,111.61,45.81,47.3,28.03,40.5,51.61,17.12,49.34,22.07,54.99,156.35,73.99,65.31,17.26,57.23,84.42,31.54,32.61,82.64,19.09,42.66,41.11,54.46,9.09,78.0,54.0,55.42,32.86,91.86,82.73,37.06,22.72,5.59,25.05,42.14
2012-08-09,111.92,45.82,47.35,27.98,40.47,51.73,17.1,50.95,21.88,54.95,157.05,73.79,65.69,17.38,57.65,84.45,32.71,31.33,83.22,18.94,42.33,40.64,55.02,8.98,80.39,52.29,56.06,32.88,91.53,83.33,37.85,22.63,5.32,24.38,41.72
2012-08-13,111.3,45.81,47.55,28.16,40.4,51.84,17.07,50.23,21.95,55.13,155.85,73.95,66.19,17.48,58.7,84.41,31.72,32.1,84.17,18.75,41.82,39.56,56.2,8.85,73.12,57.29,57.61,33.55,92.23,84.23,37.25,22.68,5.52,24.89,42.66
