Date,BSV,SQQQ,TECL,TQQQ,UPRO,UVXY
2013-07-24,80.3,24.51,62.83,77.17,73.1,39.92
2013-07-25,80.34,24.13,63.18,78.45,73.34,39.64
2013-07-26,80.3,24.27,63.06,78.09,72.63,40.56
2013-07-29,80.26,23.88,63.95,79.25,72.7,39.11
2013-07-30,80.33,23.77,63.43,79.75,72.67,37.5
2013-07-31,80.13,23.02,65.47,82.12,75.29,35.1
2013-08-01,80.31,22.62,66.24,83.55,75.68,33.31
2013-08-02,80.3,22.59,66.71,83.73,75.45,32.46
2013-08-05,80.27,23.0,65.72,82.24,74.16,34.39
2013-08-06,80.27,23.06,65.13,81.74,73.38,35.15
2013-08-07,80.29,22.74,65.84,82.86,74.16,33.99
2013-08-08,80.3,23.03,64.69,81.97,73.52,34.84
2013-08-09,80.28,22.9,66.05,82.5,73.21,34.55
2013-08-12,80.14,22.49,67.33,83.85,73.97,33.97
2013-08-13,80.17,22.75,67.29,82.92,72.78,34.56
2013-08-14,80.05,23.91,63.93,78.76,69.61,38.07
2013-08-15,80.02,23.94,63.77,78.48,69.07,36.65
2013-08-16,79.96,24.05,63.24,78.17,67.73,38.75
2013-08-19,80.06,23.72,63.38,79.24,68.68,37.66
2013-08-20,79.87,23.97,63.06,78.45,67.38,39.13
2013-08-21,79.86,23.29,63.85,80.69,69.15,37.22
2013-08-22,79.93,22.82,65.27,82.39,69.98,35.75
2013-08-23,79.98,22.79,64.38,82.46,69.23,38.07
2013-08-26,80.02,24.17,60.95,77.27,65.73,44.18
2013-08-27,80.01,23.87,61.03,78.27,66.47,43.92
2013-08-28,80.05,23.39,61.96,79.89,66.8,45.87
2013-08-29,80.04,23.81,61.15,78.4,66.01,46.93
2013-08-30,79.82,23.43,61.28,79.69,67.02,43.43
2013-09-03,79.72,22.64,63.0101,82.29,68.71,43.09
2013-09-04,79.61,22.56,63.0496,82.65,68.91,41.17
2013-09-05,79.73,22.43,63.3,82.95,68.99,41.88
2013-09-06,79.8,21.65,65.44,85.87,71.06,38.73
2013-09-09,79.7,21.35,66.71,87.17,72.62,35.89
2013-09-10,79.79,21.49,65.8,86.73,73.28,33.67
2013-09-11,79.86,21.55,66.13,86.39,72.79,34.8
2013-09-12,79.89,21.48,66.19,86.63,73.17,33.72
2013-09-13,80.01,21.66,65.87,85.89,74.51,33.13
2013-09-16,80.01,21.21,66.91,87.6,75.4,32.3
2013-09-17,80.3,20.45,69.33,90.83,78.08,29.92
2013-09-18,80.23,20.31,69.65,91.39,77.79,29.6
2013-09-19,80.27,20.51,68.13,90.39,75.99,30.59
2013-09-20,80.28,20.63,68.52,89.88,75.04,31.42
2013-09-23,80.3,20.63,68.04,89.9,74.5,31.06
2013-09-24,80.33,20.82,67.38,89.05,73.78,30.9
2013-09-25,80.3,20.34,68.16,91.09,74.61,29.72
2013-09-26,80.33,20.4,66.77,90.66,73.71,32.1
2013-09-27,80.37,20.54,65.68,90.09,72.34,34.41
2013-09-30,80.28,19.96,67.46,92.77,74.14,32.11
2013-10-01,80.38,19.97,67.52,92.62,73.84,33.95
2013-10-02,80.38,20.67,65.72,89.33,71.9,36.51
2013-10-03,80.29,20.14,66.47,91.7,73.44,35.88
