Date,DBMF,GLD,PSQ,QQQ,SH,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY
2019-09-06,27.47,141.39,27.53,191.19,26.2,298.2,31.69,168.92,63.99,55.5,27.44
2019-09-09,27.0719,140.18,27.59,190.64,26.2,298.13,31.96,166.17,63.46,55.5,27.32
2019-09-10,27.19,141.03,27.34,192.43,26.02,300.25,31.1,171.19,65.17,56.68,26.63
2019-09-11,26.98,141.32,27.24,193.23,25.95,301.29,30.69,173.91,65.98,57.16,25.63
2019-09-12,26.46,140.15,27.34,192.54,25.96,301.09,31.03,170.18,65.28,57.03,25.11
2019-09-13,26.83,141.32,27.48,191.68,26.05,300.16,31.47,169.0,64.38,56.54,25.65
2019-09-16,26.86,141.6,27.34,192.6,25.98,300.92,31.04,170.75,65.23,56.98,25.48
2019-09-17,27.01,140.71,27.36,192.52,25.97,301.1,31.07,171.11,65.19,57.07,24.2
2019-09-18,27.03,141.28,27.31,192.84,25.97,301.08,30.94,172.19,65.48,56.98,23.61
2019-09-19,27.32,142.95,27.59,190.8,26.11,298.28,31.87,166.0,63.42,56.13,25.36
2019-09-20,27.4,143.75,27.6,190.5,26.1,298.21,31.89,167.39,63.48,56.18,25.06
2019-09-23,27.6,144.51,27.98,187.97,26.32,295.87,33.15,162.21,60.97,54.8,26.78
2019-09-24,27.48,141.83,27.53,190.08,26.05,297.62,31.87,168.0,62.92,55.76,25.84
2019-09-25,27.64,141.79,27.64,189.38,26.12,297.0,32.22,168.37,62.29,55.42,26.17
2019-09-26,27.56,141.06,27.98,187.03,26.26,295.4,33.39,161.8,60.03,54.48,27.2
2019-09-27,27.7,138.87,27.74,188.81,26.13,296.77,32.51,166.79,61.63,55.27,26.04
2019-09-30,27.69,139.63,27.96,187.27,26.46,293.24,33.29,162.35,60.14,53.29,27.7
2019-10-01,27.73,141.26,28.44,184.05,26.93,288.06,35.01,152.94,57.06,50.45,30.59
2019-10-02,27.89,141.9,28.13,186.07,26.72,290.42,33.83,158.63,58.94,51.65,28.8
2019-10-03,27.99,141.9,27.71,188.81,26.35,294.35,32.4,166.44,61.42,53.72,26.45
2019-10-04,27.87,140.69,27.81,188.24,26.47,293.08,32.73,164.29,60.85,53.04,26.92
2019-10-07,27.85,141.92,28.24,185.42,26.88,288.53,34.19,155.48,58.08,50.57,30.05
2019-10-08,27.79,142.05,27.93,187.23,26.63,291.27,33.16,162.14,59.84,51.94,28.41
2019-10-09,27.53,140.81,27.74,188.68,26.45,293.24,32.42,165.25,61.15,52.99,27.04
2019-10-10,27.37,140.03,27.4,191.11,26.18,296.28,31.21,172.03,63.44,54.59,24.6
2019-10-11,27.5,140.59,27.39,191.09,26.21,295.95,31.18,171.96,63.51,54.47,23.47
2019-10-14,27.37,139.61,27.05,193.52,25.95,298.88,30.01,177.61,65.92,56.1,22.46
2019-10-15,27.32,140.41,27.11,193.04,25.99,298.4,30.22,174.09,65.43,55.82,22.03
2019-10-16,27.21,140.61,27.05,193.55,25.93,299.28,30.0,172.69,65.88,56.26,21.87
2019-10-17,27.12,140.46,27.32,191.69,26.05,297.97,30.85,167.61,63.99,55.5,21.79
2019-10-18,27.05,139.79,27.07,193.39,25.86,299.99,30.05,173.31,65.68,56.69,20.92
2019-10-21,27.12,140.2,27.28,191.85,25.95,299.01,30.76,166.2,64.16,56.08,21.42
2019-10-22,27.16,140.53,27.23,192.22,25.89,299.88,30.6,166.67,64.46,56.56,21.01
2019-10-23,27.24,141.53,26.99,194.09,25.84,300.37,29.72,173.7,66.31,56.8,20.56
2019-10-24,27.22,141.86,26.77,195.64,25.75,301.6,29.05,179.82,67.82,57.54,19.55
2019-10-25,27.09,140.64,26.49,197.57,25.59,303.3,28.15,186.61,69.89,58.5,19.84
2019-10-28,27.09,140.25,26.7,196.04,25.61,303.21,28.81,181.51,68.28,58.39,19.83
2019-10-29,27.22,141.02,26.6,196.99,25.53,304.14,28.41,185.0,69.24,58.96,19.09
2019-10-30,27.39,142.43,26.59,197.08,25.62,303.33,28.39,184.52,69.29,58.42,19.51
