Date,BIL,BTAL,LABU,SHV,SOXL,SOXS,TECL,TECS,TMF,UVXY
2016-03-23,45.68,22.35,23.59,110.32,25.21,35.8,36.62,27.67,94.67,25.22
2016-03-24,45.69,22.24,25.72,110.32,26.15,34.98,37.66,27.09,92.06,22.83
2016-03-28,45.69,22.57,23.74,110.33,25.44,35.49,37.02,27.46,94.14,22.8
2016-03-29,45.7,22.16,26.7,110.38,27.18,33.01,39.7,25.63,93.35,19.35
2016-03-30,45.69,22.17,25.51,110.38,27.23,32.88,39.45,25.64,93.3,19.42
2016-03-31,45.69,22.01,26.61,110.35,26.62,33.82,38.69,26.25,95.94,20.58
2016-04-01,45.69,22.34,30.5,110.33,27.54,32.55,40.29,25.13,95.52,18.17
2016-04-04,45.7,22.28,30.04,110.35,26.13,34.34,39.03,25.97,98.12,20.65
2016-04-05,45.69,22.3,31.41,110.38,26.27,34.15,38.7,26.1,97.08,21.22
2016-04-06,45.69,22.27,36.67,110.37,26.6,33.72,38.92,25.92,98.62,19.68
2016-04-07,45.69,22.31,37.84,110.37,26.59,33.79,38.71,26.06,98.54,20.49
2016-04-08,45.69,22.43,34.99,110.37,26.64,33.63,38.67,26.22,96.65,20.24
2016-04-11,45.69,22.35,31.89,110.38,26.28,34.26,37.84,26.58,96.0,21.53
2016-04-12,45.69,22.23,33.6,110.37,26.55,33.43,39.45,25.93,95.03,19.11
2016-04-13,45.69,21.53,35.23,110.37,27.13,32.69,39.62,25.42,95.67,17.95
2016-04-14,45.7,21.53,35.18,110.38,27.26,33.01,39.65,25.4,96.44,17.8
2016-04-15,45.69,21.66,34.61,110.37,26.0,33.85,38.83,25.9,96.4,17.87
2016-04-18,45.69,21.58,36.8,110.39,26.42,33.25,39.76,25.1,95.98,15.16
2016-04-19,45.7,21.77,35.0,110.39,25.35,34.57,39.09,25.77,96.09,15.15
2016-04-20,45.7,21.22,34.33,110.39,26.27,33.78,39.19,25.69,90.15,16.09
2016-04-21,45.7,21.11,36.64,110.4,25.85,34.12,37.01,27.06,91.02,16.55
2016-04-22,45.69,20.99,37.49,110.4,25.64,34.36,36.62,27.46,89.35,16.0
2016-04-25,45.69,21.26,36.67,110.39,25.89,33.99,37.11,26.94,88.78,15.51
2016-04-26,45.7,21.14,33.2,110.41,25.72,34.28,34.77,28.7,89.04,15.65
2016-04-27,45.69,21.01,32.39,110.42,26.76,32.77,36.25,27.93,89.76,14.88
2016-04-28,45.7,21.17,32.05,110.42,24.91,35.16,33.88,29.44,90.15,16.39
2016-04-29,45.71,21.51,30.99,110.4,23.29,37.47,33.77,29.6,91.26,16.39
2016-05-02,45.7,21.75,31.25,110.37,23.05,37.75,33.62,29.69,92.8,15.9
2016-05-03,45.7,21.89,27.6,110.38,22.3,38.81,32.78,30.33,93.28,17.17
2016-05-04,45.7,22.01,25.6,110.41,22.71,38.65,33.25,30.01,94.04,16.12
2016-05-05,45.7,22.3,23.95,110.38,22.03,39.13,32.42,30.55,95.79,16.88
2016-05-06,45.71,22.06,24.5,110.41,22.42,38.41,33.89,29.42,94.88,14.93
2016-05-09,45.7,22.47,27.96,110.4,22.46,38.65,34.25,29.22,95.63,13.83
2016-05-10,45.7,22.21,26.97,110.38,22.92,37.83,34.77,28.55,95.56,13.2
2016-05-11,45.7,22.13,25.42,110.39,23.11,37.27,34.67,28.59,95.24,13.66
2016-05-12,45.69,22.53,23.19,110.37,21.72,39.54,33.93,29.23,97.12,13.64
2016-05-13,45.69,22.62,25.01,110.39,22.05,39.65,33.9,29.26,97.4,14.41
2016-05-16,45.7,22.44,26.99,110.38,22.9,37.62,34.96,28.55,96.35,13.51
2016-05-17,45.7,22.14,26.31,110.38,22.04,38.19,33.65,29.38,95.36,14.54
2016-05-18,45.69,21.67,28.0,110.39,23.28,36.94,33.94,29.09,93.02,14.86
2016-05-19,45.7,21.75,27.91,110.39,24.41,35.64,34.23,28.9,92.9,13.92
2016-05-20,45.7,21.84,29.68,110.38,25.97,32.97,34.89,28.32,94.4,13.46
2016-05-23,45.7,21.74,31.99,110.37,26.4,32.3,35.16,28.15,93.44,12.96
2016-05-24,45.7,21.66,33.55,110.38,28.1,29.82,37.12,26.52,93.22,11.8
2016-05-25,45.69,21.38,34.15,110.39,28.48,29.62,37.36,26.25,93.17,11.69
2016-05-26,45.7,21.62,33.01,110.39,28.44,29.5,37.57,26.15,93.69,11.3
2016-05-27,45.71,21.5,35.11,110.35,29.2,28.68,38.51,25.57,91.72,10.55
2016-05-31,45.7,21.44,36.02,110.34,29.44,29.01,37.95,25.82,95.61,11.2
2016-06-01,45.7,21.54,36.56,110.33,29.62,28.25,38.09,25.94,96.14,10.89
2016-06-02,45.71,21.4,39.29,110.35,30.64,27.36,37.88,25.99,100.3,10.46
2016-06-03,45.71,21.49,36.72,110.35,30.38,27.64,37.91,25.98,100.38,9.89
2016-06-06,45.71,21.16,37.35,110.35,30.36,27.89,38.34,25.66,99.73,9.56
2016-06-07,45.71,21.1,37.46,110.37,30.82,27.15,38.48,25.49,100.55,9.74
2016-06-08,45.72,21.47,36.22,110.36,30.09,27.74,38.24,25.75,103.66,10.27
2016-06-09,45.7,21.65,32.15,110.37,29.91,28.03,37.67,25.87,104.71,11.19
2016-06-10,45.71,22.11,30.55,110.38,28.81,29.12,37.04,26.49,105.39,13.19
2016-06-13,45.7,21.94,29.93,110.39,28.51,29.15,36.28,26.99,108.13,16.32
2016-06-14,45.71,22.3,30.47,110.4,29.31,28.36,37.05,26.54,106.46,14.71
2016-06-15,45.71,22.13,29.3,110.4,27.83,29.51,35.92,27.32,109.25,16.05
2016-06-16,45.71,22.11,30.71,110.39,28.69,28.96,36.57,26.84,107.87,13.9
2016-06-17,45.7,22.23,29.35,110.39,29.61,28.42,37.09,26.53,103.29,12.06
2016-06-20,45.71,21.91,29.35,110.39,29.51,28.28,36.64,26.5,103.64,11.52
2016-06-21,45.71,22.0,27.68,110.39,29.34,28.24,37.37,26.19,101.7,12.1
2016-06-22,45.7,21.98,28.84,110.41,30.46,27.71,37.4,25.99,99.55,11.49
2016-06-23,45.7,22.09,26.18,110.4,27.25,29.91,34.15,27.92,108.08,14.19
2016-06-24,45.7,22.85,24.68,110.4,25.27,31.76,33.28,28.92,113.01,14.96
2016-06-27,45.71,23.28,23.69,110.44,24.71,32.66,32.92,29.09,115.3,13.44
2016-06-28,45.72,23.45,27.15,110.41,25.85,30.45,34.44,27.74,115.99,10.57
2016-06-29,45.71,23.12,28.05,110.42,26.59,29.52,35.53,27.03,113.68,9.78
2016-06-30,45.71,23.06,27.97,110.4,27.07,28.83,36.41,26.42,119.41,9.28
2016-07-01,45.71,23.44,29.98,110.42,26.41,29.52,36.24,26.66,121.73,9.17
2016-07-05,45.72,24.04,29.07,110.42,25.09,31.04,35.53,26.9,124.48,9.46
2016-07-06,45.71,23.58,32.96,110.4,25.89,30.05,36.58,26.0,122.37,8.42
2016-07-07,45.72,23.16,33.09,110.42,28.0,28.29,37.12,25.61,124.61,7.81
2016-07-08,45.72,23.22,34.96,110.4,29.63,26.27,38.61,24.52,124.98,7.08
2016-07-11,45.71,22.78,34.81,110.41,30.83,25.4,39.54,24.0,118.12,6.97
2016-07-12,45.7,22.79,35.1,110.4,31.49,24.51,40.14,23.61,120.3,6.83
2016-07-13,45.71,22.42,32.19,110.4,32.1,24.19,40.63,23.4,115.2,6.62
2016-07-14,45.71,22.29,31.16,110.39,31.87,24.08,41.0,23.13,113.93,6.64
2016-07-15,45.71,22.25,33.2,110.39,32.69,23.51,40.68,23.2,114.43,6.74
2016-07-18,45.71,22.17,33.32,110.4,33.0,23.28,41.17,22.9,114.02,6.44
2016-07-19,45.71,22.57,31.89,110.4,33.17,23.11,41.93,22.56,112.6,6.18
2016-07-20,45.71,22.1,36.07,110.39,34.42,22.24,42.76,22.05,109.68,6.11
2016-07-21,45.71,22.35,36.3,110.39,33.44,22.98,41.98,22.49,111.08,6.32
2016-07-22,45.71,22.06,37.2,110.39,34.28,22.39,42.56,22.13,113.93,30.04
2016-07-25,45.71,22.32,36.39,110.41,35.74,21.37,42.81,22.01,115.39,30.15
2016-07-26,45.72,21.76,38.1,110.4,39.91,18.92,44.28,21.27,115.47,28.78
2016-07-27,45.71,21.95,41.27,110.4,38.0,19.68,44.25,21.52,116.18,28.52
2016-07-28,45.71,21.93,39.6,110.41,38.17,19.71,44.65,21.29,117.87,27.2
2016-07-29,45.71,22.25,43.0,110.4,37.85,20.15,44.58,21.08,116.6,24.89
