Date,BIL,BSV,BTAL,CURE,DRN,DUSL,ERX,FAS,LTL,NAIL,PSQ,QID,QLD,QQQ,SH,SHV,SMH,SOXL,SPXU,SPY,SQQQ,TECL,TLT,TMF,TMV,TQQQ,UGE,UPRO,UTSL,UUP,UVXY,UYM,VDE,VIXY,WANT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XTL
2019-01-10,91.52,78.63,21.39,48.4,18.87,23.1,19.06,48.52,36.39,32.05,33.06,43.59,72.27,160.33,30.38,110.41,90.23,90.28,42.15,257.65,14.6,88.91,120.82,18.99,18.56,41.24,36.29,37.75,27.34,25.33,66.68,50.85,84.0,33.84,22.13,52.21,62.06,24.33,67.48,63.29,51.59,31.81,53.36,87.11,104.14,67.23
2019-01-11,91.53,78.66,21.15,48.64,18.87,22.45,18.43,48.0,36.58,32.0,33.27,44.16,71.3,159.33,30.5,110.42,90.4,90.75,42.58,256.87,14.9,87.42,120.9,19.0,18.51,40.44,36.52,37.38,25.61,25.34,64.7,49.96,83.18,33.22,22.12,51.81,61.42,24.26,67.37,62.98,51.5,31.85,52.6,87.28,103.75,67.33
2019-01-14,91.53,78.68,21.39,47.87,18.85,22.52,19.15,49.32,36.46,31.65,33.16,43.85,71.91,160.0,30.39,110.42,90.75,90.43,42.08,257.82,14.71,88.04,120.54,18.86,18.69,40.92,36.62,37.81,24.75,25.41,61.98,49.92,84.27,32.24,22.14,51.54,62.2,24.57,67.8,63.15,51.37,31.89,51.81,86.96,103.96,66.81
2019-01-15,91.54,78.63,21.28,50.71,19.36,22.88,19.0,52.58,36.58,31.52,32.57,42.32,74.3,162.65,30.02,110.43,90.48,91.45,40.63,260.82,13.96,91.78,119.6,18.43,19.11,42.98,36.87,39.12,25.58,25.46,57.45,49.88,84.02,30.68,22.11,51.54,62.0,25.13,67.74,63.97,51.87,32.2,52.57,88.52,104.92,67.34
2019-01-16,91.55,78.63,21.28,49.69,19.49,22.82,18.57,52.86,36.12,29.77,32.74,42.79,73.53,161.83,30.15,110.45,88.88,86.91,41.05,260.0,14.17,90.45,120.22,18.72,18.85,42.3,36.62,38.74,26.41,25.48,60.56,49.97,83.42,31.8,22.15,51.45,61.53,25.32,67.44,63.73,51.53,32.34,52.82,88.0,104.11,66.83
2019-01-17,91.56,78.57,21.35,52.64,19.98,24.64,20.15,55.24,36.91,30.69,32.15,41.26,76.25,164.78,29.58,110.48,91.31,93.95,38.8,265.0,13.42,95.69,119.86,18.5,19.02,44.68,37.71,40.98,26.75,25.49,56.48,53.2,85.86,30.35,23.04,53.08,63.43,25.74,69.48,65.01,52.13,32.67,53.15,89.68,106.4,68.45
2019-01-18,91.56,78.62,20.95,52.13,19.88,24.53,19.97,55.3,36.26,29.09,32.3,41.64,75.49,164.06,29.6,110.47,92.04,94.73,38.84,264.77,13.61,95.4,120.28,18.7,18.81,44.0,37.59,40.87,26.67,25.63,57.79,53.15,85.56,30.81,23.62,53.26,63.14,25.78,69.59,64.82,52.31,32.63,53.13,89.45,106.33,67.71
2019-01-22,91.58,78.63,21.35,52.52,19.67,24.02,19.57,55.55,37.1,28.55,32.55,42.22,74.32,162.77,29.68,110.48,90.84,91.32,39.12,264.0,13.89,93.5,119.88,18.54,19.0,42.91,37.22,40.47,26.53,25.55,62.7,52.03,84.67,32.64,23.11,52.85,62.67,25.8,69.19,64.52,52.37,32.63,53.25,89.63,105.67,66.95
2019-01-23,91.59,78.73,21.47,52.23,19.5,23.95,18.59,54.54,36.14,29.34,32.59,42.34,74.17,162.68,29.78,110.5,92.34,92.89,39.55,263.21,13.95,94.46,120.91,18.99,18.53,42.82,37.44,40.07,27.05,25.53,63.8,51.07,83.32,33.01,22.63,52.12,61.68,25.64,69.09,64.7,52.31,32.57,53.88,89.47,105.49,66.78
2019-01-24,91.59,78.73,21.16,51.64,19.96,24.5,19.44,56.61,35.7,31.0,32.25,41.39,75.8,164.51,29.51,110.51,95.21,103.42,38.48,265.62,13.47,97.92,120.59,18.86,18.68,44.28,37.7,41.18,27.96,25.55,58.33,51.8,84.62,31.11,24.87,52.93,62.65,25.97,69.85,65.5,52.1,32.86,53.89,89.25,106.94,67.97
2019-01-25,91.61,78.71,21.11,50.34,20.48,24.04,18.93,55.63,38.05,30.63,32.51,42.1,74.51,163.02,29.76,110.52,93.23,96.8,39.45,263.38,13.83,95.32,120.55,18.8,18.71,43.01,37.23,40.1,26.7,25.44,60.1,52.28,83.97,31.81,23.24,52.74,62.1,25.75,69.07,64.95,51.62,33.02,53.33,88.31,105.98,67.48
2019-01-28,91.6,78.74,21.39,49.43,21.31,25.23,19.45,56.83,36.07,30.0,32.49,42.04,74.63,163.2,29.7,110.51,95.25,102.86,39.24,263.93,13.79,96.02,120.5,18.82,18.72,43.19,37.22,40.33,27.02,25.46,59.33,52.24,84.73,31.47,22.82,53.17,62.68,25.91,69.7,65.18,52.05,33.46,53.32,87.91,106.12,67.43
2019-01-29,91.61,78.78,21.39,50.73,21.91,26.12,19.72,57.06,35.65,32.62,32.42,41.89,74.78,163.4,29.57,110.52,95.28,103.14,38.71,265.09,13.71,97.43,120.84,18.96,18.58,43.3,37.53,40.89,26.55,25.47,58.86,54.28,85.14,31.33,23.49,53.81,62.88,25.91,71.1,65.42,52.12,33.76,53.08,88.67,106.56,66.52
2019-01-30,91.62,78.99,21.19,51.85,22.62,26.72,20.23,57.04,33.97,32.31,31.8,40.21,77.72,166.7,29.31,110.54,96.0,105.99,37.63,267.5,12.91,99.9,121.59,19.27,18.27,45.78,39.03,41.98,27.21,25.31,56.17,52.45,86.08,30.33,24.16,52.82,63.56,25.76,71.59,66.01,52.43,33.97,53.61,89.45,107.96,67.45
2019-01-31,91.46,78.85,21.05,54.15,23.0,27.08,21.13,58.0,36.55,35.06,31.65,39.88,78.38,167.33,29.04,110.37,96.93,106.6,36.54,270.13,12.72,100.96,121.48,19.37,18.18,46.37,39.09,43.21,28.8,25.35,52.55,53.42,86.84,29.04,24.34,53.32,64.5,25.98,71.98,66.31,53.44,34.38,54.53,90.78,107.85,68.57
