Date,BIL,BTAL,COKE,COST,EDC,EDZ,EUM,FTLS,IAU,KMLM,LLY,MO,NVO,PGR,PSQ,QLD,QQQ,TLT,TQQQ,UUP,UVXY,VIXY
2021-03-23,91.5,17.36,282.36,320.9299,89.62,9.67,12.7,44.67,16.5,27.4,172.3213,35.3019,67.06,87.9413,14.24,112.05,311.87,138.23,85.36,24.94,6.56,10.31
2021-03-24,91.5,17.1,289.91,328.8099,90.81,9.54,12.64,44.9632,16.44,27.06,175.1141,35.7868,67.45,89.5958,14.28,111.73,311.33,137.14,84.9,25.01,6.28,9.99
2021-03-25,91.5,17.16,297.56,334.2024,97.57,8.82,12.3,45.6255,16.5,27.3705,177.2374,37.4339,67.78,90.5656,14.05,115.06,316.0,136.66,88.65,24.98,5.89,9.6
2021-03-26,91.5,17.42,302.7,338.1234,95.65,8.97,12.385,45.5456,16.3,27.7,178.2226,37.2913,68.43,91.4689,14.06,114.96,315.91,135.5,88.6,25.04,6.11,9.87
2021-03-29,91.51,17.17,295.22,332.0473,96.58,8.88,12.35,45.3683,16.02,27.42,177.4191,36.5497,67.92,90.8508,14.12,113.84,314.32,136.21,87.34,25.14,5.71,9.41
2021-03-30,91.5,17.1284,288.78,334.6392,98.3,8.76,12.27,45.44,16.26,27.6007,178.6816,36.4784,67.42,90.9079,13.91,117.19,319.13,135.45,91.26,25.12,5.65,9.35
2021-03-31,91.51,17.14,289.17,336.9746,101.18,8.49,12.16,46.1128,16.46,27.49,177.1705,36.3643,67.66,90.8508,13.67,121.3,324.57,137.51,95.9,25.01,5.39,9.06
2021-04-01,91.5,17.1,295.19,342.5571,102.33,8.38,12.105,46.37,16.45,27.55,176.8357,36.5925,68.33,91.9633,13.4,126.16,331.05,136.91,101.66,24.93,5.14,8.79
2021-04-05,91.49,16.92,296.36,341.8924,103.88,8.25,12.03,46.45,16.61,27.57,174.8368,36.6353,68.03,90.8307,13.42,125.89,330.82,137.84,101.42,24.87,5.2,8.87
2021-04-06,91.49,17.13,295.8,340.6488,99.01,8.6,12.23,46.2528,16.55,27.5414,174.3777,36.457,67.89,91.2399,13.37,126.51,331.62,136.88,102.17,24.9,4.99,8.6
2021-04-07,91.5,17.07,300.0,342.9368,101.74,8.37,12.115,46.3949,16.73,27.43,174.655,36.7066,69.25,90.4023,13.24,129.17,335.08,138.01,105.36,24.79,4.86,8.47
2021-04-08,91.49,17.08,303.15,344.826,99.01,8.61,12.22,46.5492,16.61,27.625,176.4532,36.7137,70.12,91.0686,13.16,130.75,337.11,137.51,107.27,24.81,4.85,8.45
