Date,BITI,BSV,MSTR,TBT
2009-02-06,3.21,79.4,41.86,48.62
2009-02-09,3.4,78.77,40.03,46.3
2009-02-10,3.52,79.52,39.98,45.16
2009-02-11,3.46,79.36,40.18,45.96
2009-02-12,3.72,79.26,40.55,47.71
2009-02-13,3.62,79.23,38.83,45.26
2009-02-17,3.4,78.84,40.49,45.85
2009-02-18,3.43,78.9,39.53,47.37
2009-02-19,3.23,79.12,39.52,46.41
2009-02-20,3.32,78.91,38.15,45.65
2009-02-23,3.26,78.72,38.65,45.16
2009-02-24,3.08,78.56,37.41,46.55
2009-02-25,3.04,78.56,36.72,47.62
2009-02-26,3.15,78.67,36.53,48.17
2009-02-27,3.0,78.53,35.16,46.74
2009-03-02,3.1,78.5,34.15,47.1
2009-03-03,3.09,78.28,34.49,47.58
2009-03-04,2.86,78.3,33.56,44.92
2009-03-05,2.86,78.29,33.8,45.35
2009-03-06,2.87,78.09,32.63,45.96
2009-03-09,3.12,77.94,34.39,47.58
2009-03-10,3.11,78.02,34.09,46.73
2009-03-11,3.11,77.94,32.99,46.19
2009-03-12,3.2,78.18,33.47,46.66
2009-03-13,3.42,78.06,32.9,47.94
2009-03-16,3.57,77.96,33.52,48.51
2009-03-17,3.52,78.92,34.3,44.66
2009-03-18,3.41,78.86,33.67,44.84
2009-03-19,3.43,78.63,34.6,45.1
2009-03-20,3.47,78.6,36.43,45.8
2009-03-23,3.46,78.3728,35.98,45.38
2009-03-24,3.5,78.32,36.77,46.11
2009-03-25,3.63,78.39,37.77,45.2
2009-03-26,3.59,78.3,34.15,44.58
2009-03-27,3.49,78.64,33.42,44.26
2009-03-30,3.44,78.8,34.19,43.64
2009-03-31,3.55,78.56,36.13,42.83
2009-04-01,3.69,78.52,37.47,43.64
2009-04-02,3.8,78.32,38.13,45.43
2009-04-03,3.75,78.15,38.17,45.84
2009-04-06,3.65,78.28,37.37,45.51
2009-04-07,3.65,78.48,37.73,44.85
2009-04-08,4.12,78.5,38.67,45.75
2009-04-09,3.95,78.67,39.07,45.01
2009-04-13,3.91,78.79,38.67,44.45
2009-04-14,4.09,78.83,38.87,44.72
2009-04-15,4.1,78.75,39.7,45.25
2009-04-16,4.09,78.51,39.99,46.38
2009-04-17,4.1,78.86,38.93,45.0
2009-04-20,3.9,78.72,39.32,45.59
2009-04-21,3.52,78.58,38.96,46.27
2009-04-22,3.61,78.88,39.33,46.41
2009-04-23,3.25,78.81,39.41,47.19
2009-04-24,3.57,78.98,38.84,46.82
2009-04-27,3.46,78.98,39.28,48.06
2009-04-28,3.69,78.92,39.63,48.9
2009-04-29,4.0,78.95,38.91,49.31
2009-04-30,3.81,78.82,38.84,50.2
2009-05-01,3.83,78.9,40.96,49.89
2009-05-04,3.98,78.94,41.61,49.89
2009-05-05,3.75,78.95,40.96,50.16
2009-05-06,3.53,78.86,41.3,52.41
2009-05-07,3.5,78.85,43.81,52.24
2009-05-08,3.61,78.98,43.87,50.8
2009-05-11,3.39,79.11,44.23,50.34
2009-05-12,3.42,79.38,44.78,49.29
2009-05-13,3.45,79.25,44.55,48.94
2009-05-14,3.41,79.19,45.96,49.13
2009-05-15,3.44,79.15,46.15,50.5
2009-05-18,3.44,79.11,46.1,51.04
2009-05-19,3.49,79.31,46.86,49.95
2009-05-20,3.95,79.2,45.39,52.43
2009-05-21,4.0,79.16,45.31,53.53
2009-05-22,3.99,79.06,46.37,55.1
2009-05-26,3.6,78.97,46.6,57.14
2009-05-27,3.78,79.03,46.72,55.77
2009-05-28,4.0,79.09,46.8,52.57
2009-05-29,3.97,79.0,47.27,55.52
2009-06-01,3.98,78.95,47.48,54.97
2009-06-02,3.99,79.1,47.99,53.9
2009-06-03,4.0,78.92,48.52,56.0
2009-06-04,3.93,78.4,48.92,56.94
2009-06-05,4.0,78.17,48.84,57.29
2009-06-08,3.99,78.47,48.94,57.22
2009-06-09,3.89,78.36,49.3,58.77
2009-06-10,3.98,78.29,49.23,57.72
2009-06-11,3.91,78.68,48.8,56.59
2009-06-12,3.91,78.72,47.72,55.49
2009-06-15,3.82,78.7,46.85,53.57
2009-06-16,3.78,78.78,47.0,54.17
2009-06-17,3.71,78.69,50.25,55.76
2009-06-18,3.72,78.74,52.12,54.34
2009-06-19,3.52,78.91,50.0,53.28
2009-06-22,3.4,78.84,49.18,51.85
2009-06-23,3.3,78.94,49.57,53.06
2009-06-24,3.35,79.03,49.7,51.03
2009-06-25,3.67,79.04,50.85,50.81
2009-06-26,3.44,78.94,50.23,50.65
2009-06-29,3.58,79.18,50.22,50.92
2009-06-30,3.46,78.88,50.94,51.06
2009-07-01,3.55,79.18,49.33,50.73
2009-07-02,3.66,79.13,51.85,50.94
2009-07-06,3.65,79.18,50.93,50.19
2009-07-07,3.64,79.14,51.22,48.35
2009-07-08,3.59,79.4,51.03,49.45
2009-07-09,3.66,79.5,51.06,48.41
2009-07-10,20.61,80.0,180.64,49.81
2015-06-11,19.2,79.97,178.75,49.77
2015-06-12,18.1,80.0,174.09,49.63
2015-06-15,17.45,80.05,176.2,48.84
2015-06-16,19.32,80.1,176.8,49.56
2015-06-17,21.8,80.15,178.64,50.06
2015-06-18,24.03,80.18,177.69,48.77
2015-06-19,22.99,80.07,178.62,50.75
2015-06-22,21.74,80.06,178.62,51.35
2015-06-23,21.93,80.07,174.23,50.48
2015-06-24,21.89,80.03,173.89,50.84
2015-06-25,21.86,79.98,173.86,51.95
2015-06-26,21.34,80.2,167.88,49.3
2015-06-29,19.97,80.19,170.08,49.79
2015-06-30,18.71,79.95,170.06,51.18
2015-07-01,18.39,80.09,172.57,50.78
2015-07-02,19.44,80.17,172.47,48.96
2015-07-06,19.14,80.18,173.6,47.99
2015-07-07,17.63,80.3,172.22,47.18
