Date,PSQ,QLD,QQQ,SHY,SPY
2012-05-31,28.23,48.1,60.94,84.49,129.41
2012-06-01,28.35,47.49,60.58,84.46,128.44
2012-06-04,28.33,47.61,60.66,84.46,127.88
2012-06-05,27.91,49.02,61.58,84.47,129.98
2012-06-06,27.2,51.56,63.18,84.44,133.49
2012-06-07,27.63,49.94,62.17,84.44,131.72
2012-06-08,27.09,51.89,63.35,84.42,134.19
2012-06-11,27.63,49.84,62.1,84.42,131.8
2012-06-12,27.53,50.24,62.36,84.4,132.5
2012-06-13,27.64,49.87,62.12,84.41,132.38
2012-06-14,27.43,50.52,62.39,84.42,133.35
2012-06-15,27.28,51.11,62.73,84.41,133.59
2012-06-18,26.78,52.98,63.9,84.4,135.13
2012-06-19,26.58,53.73,64.38,84.4,135.76
2012-06-20,26.62,53.51,64.24,84.38,135.67
2012-06-21,27.21,51.25,62.9,84.38,133.11
2012-06-22,27.2,51.13,62.83,84.39,132.1
2012-06-25,27.41,50.29,62.34,84.39,131.69
2012-06-26,27.24,51.04,62.76,84.38,132.4
2012-06-27,27.38,50.46,62.43,84.39,132.32
2012-06-28,26.93,51.99,63.4,84.37,135.24
2012-06-29,26.55,53.42,64.25,84.38,136.53
2012-07-02,26.5,53.64,64.39,84.36,136.51
2012-07-03,26.31,54.34,64.83,84.37,136.93
2012-07-05,26.39,54.1,64.63,84.42,135.56
2012-07-06,26.64,53.09,64.05,84.44,135.41
2012-07-09,26.5,53.53,64.35,84.43,136.08
2012-07-10,26.95,51.84,63.29,84.42,134.23
2012-07-11,27.27,50.56,62.52,84.43,133.39
2012-07-12,27.25,50.69,62.6,84.45,133.88
2012-07-13,26.95,51.69,63.24,84.49,135.42
2012-07-16,26.8,52.29,63.6,84.5,136.01
2012-07-17,26.86,51.97,63.41,84.5,136.02
2012-07-18,26.28,54.31,64.84,84.53,137.63
2012-07-19,26.18,54.71,65.08,84.51,136.98
2012-07-20,27.03,51.24,62.99,84.54,134.45
2012-07-23,26.8,52.22,63.57,84.54,135.2
2012-07-24,27.25,50.46,62.47,84.55,134.26
2012-07-25,26.82,52.01,63.44,84.52,135.91
2012-07-26,26.67,52.57,63.83,84.5,136.91
2012-07-27,26.17,54.58,65.03,84.5,138.57
2012-07-30,26.2,54.36,64.92,84.55,138.51
2012-07-31,26.07,54.9,65.26,84.54,138.72
2012-08-01,26.54,53.0,64.12,84.51,136.54
