Date,BITF,BITO,COIN,MARA,MSTR,RIOT,UVXY
2022-04-12,3.39,25.67,154.79,22.3,463.58,16.01,12.94
2022-04-13,3.14,24.88,147.29,21.23,449.19,14.97,13.34
2022-04-14,3.21,25.39,145.16,20.9,445.89,14.79,13.12
2022-04-18,3.3,25.93,151.27,21.5,471.14,14.88,12.13
2022-04-19,3.19,25.74,147.13,20.72,449.03,13.95,11.7
2022-04-20,3.04,25.74,137.32,19.32,427.86,12.8,13.02
2022-04-21,2.86,24.63,131.52,18.15,409.08,11.85,15.39
2022-04-22,2.97,25.1,135.14,18.72,428.0,12.04,14.85
2022-04-25,2.77,23.86,127.15,17.1,391.01,11.08,17.23
2022-04-26,2.86,24.23,122.55,16.72,385.78,10.98,17.75
2022-04-27,3.0,24.94,122.69,16.86,400.49,10.94,16.36
2022-04-28,2.88,23.84,112.71,15.6,354.17,10.14,18.27
2022-04-29,3.02,24.0,121.34,16.66,365.91,10.97,17.84
2022-05-02,2.98,23.43,123.56,16.78,343.4,10.84,16.31
2022-05-03,3.21,24.87,130.15,17.76,366.44,11.57,14.06
2022-05-04,2.84,22.61,114.25,15.9,314.52,10.19,17.76
2022-05-05,2.71,22.39,103.74,14.95,294.24,9.49,17.38
2022-05-06,2.17,19.23,83.51,12.08,219.05,7.67,19.49
2022-05-09,2.09,19.44,72.99,11.8,225.52,7.53,18.5
2022-05-10,1.85,18.18,53.72,9.98,168.2,6.84,18.3
2022-05-11,1.89,17.71,58.5,10.15,171.18,7.31,17.82
2022-05-12,2.03,18.68,67.87,11.39,204.57,7.97,16.11
2022-05-13,1.87,18.32,61.7,10.32,201.51,7.19,15.09
2022-05-16,2.01,18.67,70.0,11.09,224.87,7.62,14.52
2022-05-17,1.9,18.13,63.03,10.16,197.44,6.93,17.65
2022-05-18,1.88,18.62,67.42,10.35,210.77,7.13,15.98
2022-05-19,1.82,18.19,66.15,9.77,202.75,6.84,16.01
2022-05-20,1.8,18.04,66.1,9.93,204.37,6.86,15.74
2022-05-23,1.69,18.22,61.36,9.0,193.01,6.27,15.75
2022-05-24,1.68,18.35,67.17,9.27,198.12,6.43,15.28
2022-05-25,1.72,18.23,69.87,9.85,216.1,6.73,15.09
2022-05-26,1.84,17.89,75.32,10.27,219.39,7.24,14.21
2022-05-27,2.01,19.63,78.1,10.23,264.69,7.19,13.84
2022-05-31,1.88,18.65,68.63,9.22,238.14,6.52,13.69
2022-06-01,1.9309,18.81,73.82,9.225,242.46,6.81,13.26
