Date,AGG,BIL,BTAL,CURE,DBC,DGRO,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,MVV,PUI,QLD,SCHD,SHY,SOXL,SOXS,SPXL,SPXS,SPXU,SQQQ,SVXY,TECL,TECS,TMF,TMV,TNA,TQQQ,UCO,UGL,UPRO,USD,USDU,UUP,UVXY,VIXM,VIXY,YCS
2014-09-25,109.06,45.76,19.41,105.74,23.49,25.14,42.42,64.77,22.14,100.29,19.81,46.49,117.06,67.16,21.92,125.71,38.71,84.51,116.25,18.33,78.79,24.33,44.74,35.92,79.98,125.26,13.45,66.26,43.14,66.63,86.48,31.67,41.17,119.07,82.92,26.03,22.8,26.31,15.43,19.56,75.23
2014-09-26,109.18,45.75,19.35,105.24,23.63,25.06,41.56,64.17,21.92,99.71,19.79,43.72,117.03,66.91,21.9,125.34,38.69,84.52,116.58,18.27,78.32,24.49,45.01,36.06,76.0,125.01,13.48,67.82,42.09,66.47,86.19,32.34,41.12,118.33,84.28,26.04,22.78,28.91,15.78,20.53,75.46
2014-09-29,109.11,45.76,19.45,103.32,23.22,25.01,41.56,64.12,21.91,95.93,19.96,43.45,116.21,65.66,22.12,125.72,38.56,84.5,113.67,18.75,77.66,24.68,45.37,35.91,74.92,126.18,13.37,66.73,42.78,63.4,86.51,30.34,40.59,117.36,83.15,26.09,22.87,29.6,15.98,20.73,75.76
2014-09-30,109.53,45.76,19.6,100.23,23.14,24.71,40.71,63.36,21.57,89.95,20.02,41.92,116.77,63.77,21.95,121.65,38.07,84.58,105.38,20.09,74.52,25.68,47.18,37.65,73.34,120.31,13.98,70.55,40.35,60.76,82.37,29.87,40.92,112.64,79.1,26.09,22.85,31.0,16.41,21.26,74.85
2014-10-01,109.35,45.76,19.68,99.56,23.05,24.7,40.93,62.68,21.71,88.74,19.86,42.27,116.74,64.16,21.94,121.57,38.0,84.55,103.63,20.44,74.53,25.65,47.16,37.68,74.0,120.31,13.95,68.78,41.35,62.49,82.33,30.23,40.9,112.57,77.53,25.93,22.78,30.25,16.15,21.01,74.02
2014-10-02,109.3,45.74,19.53,105.71,22.83,25.01,41.28,62.69,21.89,88.44,20.35,43.38,114.61,65.03,21.92,124.01,38.35,84.5,105.32,20.1,76.98,24.81,45.62,36.55,78.44,123.15,13.66,69.56,40.84,63.85,84.81,29.17,39.4,116.3,78.73,26.24,23.08,26.56,15.53,19.72,75.83
2014-10-03,109.4,45.74,19.6,104.24,23.12,24.97,41.82,63.08,22.07,88.52,19.9,46.1,116.03,64.66,22.09,123.47,38.38,84.55,102.66,20.61,76.73,24.91,45.78,36.75,77.0,123.19,13.65,69.66,40.79,62.3,84.23,29.66,40.45,115.87,77.68,25.97,22.82,27.39,15.79,20.06,74.47
2014-10-06,109.82,45.75,19.35,99.18,23.03,24.63,41.46,62.01,21.61,85.07,19.84,46.72,116.36,62.72,22.09,119.98,37.87,84.61,96.89,21.76,73.2,26.05,47.89,38.32,71.65,117.58,14.25,72.54,39.07,59.16,80.67,28.62,40.66,110.58,74.55,25.97,22.78,31.29,16.35,21.47,73.4
2014-10-07,110.13,45.75,19.79,106.65,22.94,25.06,42.07,62.99,22.1,87.56,19.61,46.95,117.49,64.66,22.09,124.75,38.46,84.71,103.28,20.3,77.02,24.67,45.36,36.1,77.44,124.06,13.47,72.57,39.06,62.56,85.33,27.84,41.4,116.33,78.35,25.81,22.68,26.0,15.5,19.67,73.49
2014-10-08,109.91,45.75,19.96,100.66,22.67,24.58,41.41,61.3,21.95,77.68,19.78,46.81,117.64,61.52,21.97,120.56,37.77,84.69,95.01,21.94,72.4,26.15,48.12,37.83,70.27,117.94,14.11,71.66,39.53,57.49,81.08,26.34,41.54,109.33,74.19,25.91,22.75,30.64,16.12,21.46,73.2
2014-10-09,109.99,45.75,20.19,98.22,22.59,24.38,40.51,60.38,21.64,74.51,19.99,44.76,117.59,59.39,21.92,114.52,37.44,84.72,75.32,26.47,69.98,27.05,49.73,40.66,62.42,109.04,15.2,73.76,38.37,55.4,75.01,26.52,41.53,105.61,64.14,26.06,22.86,37.52,16.88,23.88,72.97
2014-10-10,110.31,45.75,20.52,91.29,22.59,24.02,40.92,60.3,21.89,67.61,19.75,47.29,118.52,57.86,22.04,110.99,36.92,84.78,70.45,28.15,66.45,28.37,52.17,42.52,56.33,105.05,15.8,75.13,37.64,54.63,71.5,26.18,42.2,100.4,61.7,25.88,22.73,45.24,17.83,26.32,72.11
2014-10-13,110.56,45.74,20.38,89.48,22.25,24.1,41.16,60.45,21.98,65.12,19.85,47.32,118.59,59.0,21.89,110.94,36.95,84.82,74.43,26.68,66.78,28.19,51.9,42.56,56.38,105.38,15.7,76.51,36.93,56.5,71.63,24.21,42.12,100.92,64.11,25.95,22.83,43.65,17.62,25.96,72.01
2014-10-14,110.76,45.74,20.47,86.83,21.97,23.93,40.64,60.09,21.98,66.46,19.37,44.9,118.99,58.75,21.34,109.6,36.73,84.92,75.41,26.24,65.19,28.86,53.04,43.38,55.57,103.49,15.95,78.32,36.06,58.31,70.1,23.87,42.48,98.46,63.69,25.79,22.59,44.6,17.73,26.23,70.76
2014-10-15,110.52,45.75,20.12,90.06,22.27,24.23,40.72,60.64,21.72,71.9,19.53,45.08,118.99,60.89,21.94,111.04,37.06,84.84,80.6,24.42,67.54,27.8,51.15,42.47,55.63,105.38,15.61,75.75,37.23,59.72,71.71,24.9,42.44,102.1,65.97,25.87,22.66,41.8,17.33,25.62,71.84
2014-10-17,110.65,45.75,20.08,93.39,22.11,24.37,40.84,61.02,22.03,73.76,19.4,43.41,119.8,62.22,22.41,114.32,37.38,84.87,84.41,23.3,69.5,27.01,49.69,40.56,59.75,107.51,15.35,76.4,36.9,61.83,74.8,24.62,42.99,104.99,67.46,25.8,22.58,35.57,17.03,23.75,71.74
2014-10-20,110.55,45.74,19.96,100.73,22.29,24.72,41.01,61.75,22.31,80.5,19.65,41.69,120.02,65.21,22.6,120.3,37.9,84.86,93.59,20.82,73.56,25.42,46.78,37.35,64.17,113.9,14.46,74.65,37.73,64.82,80.65,24.94,43.14,111.19,72.76,25.83,22.7,30.21,16.48,21.93,71.79
2014-10-21,110.49,45.74,19.96,98.7,22.04,24.59,40.74,61.3,22.19,76.04,19.88,41.35,119.34,63.79,22.74,119.02,37.7,84.83,89.7,21.69,72.04,25.97,47.77,37.95,58.98,111.78,14.66,74.73,37.66,62.08,79.4,23.77,42.69,108.87,70.93,25.95,22.8,34.72,16.88,23.66,72.08
2014-10-22,110.23,45.74,19.99,104.18,22.3,24.87,40.73,61.89,22.32,80.25,19.85,39.84,118.52,65.65,22.88,122.67,37.96,84.8,93.58,20.7,74.55,25.05,46.09,36.16,62.76,115.84,14.14,72.79,38.64,65.38,83.03,24.68,42.02,112.69,72.75,26.03,22.82,30.91,16.54,22.29,73.46
2014-10-23,110.31,45.74,19.95,108.19,22.1,25.06,40.7,61.88,22.21,74.4,19.69,39.33,118.06,66.08,22.89,124.87,38.33,84.82,97.59,19.8,77.0,24.59,45.19,35.22,64.3,119.4,13.69,73.37,38.33,65.53,85.26,23.95,41.77,114.67,75.14,26.0,22.72,29.35,16.04,21.73,72.95
2014-10-27,110.14,45.74,19.85,110.9,22.28,25.3,41.52,62.82,22.55,79.48,19.58,41.29,118.1,68.32,23.07,128.56,38.66,84.81,101.94,18.92,78.45,23.73,43.66,33.66,68.55,124.33,13.15,72.15,38.99,71.15,89.07,24.23,41.79,118.49,77.39,25.9,22.68,25.53,15.43,20.3,73.44
2014-10-28,109.9,45.75,19.76,110.96,22.54,25.3,41.57,62.34,22.46,80.27,19.89,41.1,116.41,68.07,22.94,127.57,38.72,84.7,102.45,18.82,78.19,23.81,43.8,34.02,67.34,123.52,13.19,72.48,38.8,70.71,88.0,24.91,40.63,118.18,78.22,26.05,22.85,26.27,15.49,20.63,74.43
2014-10-29,110.08,45.74,19.79,117.42,22.35,25.44,41.97,62.79,22.84,79.39,19.99,42.75,115.19,68.55,23.12,128.19,38.84,84.73,98.99,19.46,79.73,23.34,42.98,33.77,67.1,124.7,13.09,72.68,38.66,72.46,88.55,24.17,39.78,120.47,75.02,26.07,22.91,26.43,15.73,20.71,74.98
2014-10-30,110.08,45.75,19.6,118.73,22.32,25.74,42.15,63.95,23.22,84.15,20.25,43.24,112.66,70.08,23.33,131.66,39.32,84.7,110.5,17.2,82.38,22.58,41.53,32.4,68.8,130.56,12.49,72.11,38.99,75.63,92.2,24.04,37.94,124.44,81.17,26.32,23.09,25.11,15.53,20.18,79.02
2014-10-31,109.68,45.74,19.7,119.33,22.12,25.62,41.8,63.4,23.19,80.08,20.35,42.17,112.15,70.37,23.44,132.42,39.28,84.65,112.55,16.83,82.48,22.55,41.47,32.09,67.73,132.18,12.32,72.18,38.91,75.34,93.15,22.78,37.69,124.64,82.54,26.47,23.2,25.91,15.83,20.51,81.09
2014-11-03,109.69,45.75,19.8,119.16,21.8,25.64,41.84,63.04,23.29,75.08,20.19,42.41,112.22,69.72,23.34,131.6,39.34,84.64,111.61,17.01,81.69,22.75,41.85,32.42,68.28,132.31,12.29,72.75,38.62,74.25,92.16,22.05,37.62,123.44,82.62,26.41,23.14,25.59,15.73,20.36,80.9
2014-11-04,109.73,45.74,19.85,118.66,21.86,25.84,41.47,63.16,23.22,79.13,20.39,42.03,109.79,70.32,23.74,131.52,39.51,84.63,114.9,16.53,83.18,22.31,41.06,32.39,68.98,133.29,12.21,72.61,38.7,74.58,92.15,22.93,36.12,125.68,82.94,26.58,23.25,24.95,15.76,20.11,82.45
2014-11-05,109.54,45.75,19.86,120.75,21.88,25.88,40.96,62.82,23.17,82.01,20.74,40.38,109.88,71.26,23.45,132.4,39.68,84.61,111.97,16.92,84.2,22.07,40.61,32.11,70.72,133.22,12.21,71.17,39.49,75.5,92.94,22.48,36.09,127.26,82.92,26.73,23.41,23.61,61.78,19.62,83.03
2014-11-06,109.91,45.74,19.86,117.43,21.98,25.91,41.22,62.85,23.21,84.82,20.45,40.98,112.97,71.29,23.69,132.1,39.73,84.67,108.68,17.41,84.4,21.98,40.46,32.2,71.72,133.48,12.21,73.53,38.17,75.88,92.71,22.71,38.11,127.6,81.28,26.55,23.27,22.95,61.1,19.3,82.21
2014-11-07,109.65,45.75,19.86,120.8,21.77,26.03,41.33,63.13,23.12,82.52,20.57,40.57,110.46,71.83,23.73,133.11,39.83,84.62,111.25,17.02,85.2,21.82,40.13,31.85,74.48,134.5,12.1,71.49,39.18,77.0,93.66,22.09,36.46,128.67,81.61,26.65,23.34,21.19,59.83,18.56,82.52
