"Date","Day Traded","UPRO","TECS","EEM","USDU","SOXL","DGRO","TMF","EPI","YCS","EWZ","PUI","CURE","SVXY","$USD","UUP","DBC","SHY","SPXL","ERX","SPXU","TECL","UGL","BTAL","SPXS","TQQQ","EFA","SOXS","QLD","VIXY","GLD","EUO","UVXY","UCO","TNA","TMV","SCHD","VIXM","BIL","USD","SQQQ","AGG","MVV"
"Asset Type","","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Cash","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity"
"2022-06-02","No","-","-","-","-","-","9.4%","2.8%","-","-","-","-","-","21.5%","-","-","-","-","-","-","-","7.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","14.2%","9.3%","21.0%","14.2%","-","-","-","-"
"2022-06-01","Yes","-","-","-","-","-","9.3%","2.9%","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","21.4%","14.3%","-","-","-","-"
"2022-05-31","Yes","-","-","-","-","-","9.3%","2.9%","-","14.3%","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-05-27","Yes","-","-","-","-","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-05-26","Yes","-","-","-","-","-","9.3%","-","-","-","14.3%","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-05-25","No","-","-","-","-","14.9%","9.2%","-","-","-","-","-","-","17.0%","-","-","-","-","-","-","-","21.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","13.8%","14.1%","-","-","-","-"
"2022-05-24","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-05-23","Yes","-","-","-","-","-","9.3%","2.9%","-","-","14.3%","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-05-20","Yes","-","14.3%","-","-","-","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-05-19","Yes","-","-","-","-","-","9.3%","2.9%","-","-","14.3%","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-05-18","Yes","-","-","-","-","-","7.1%","-","-","-","14.3%","-","-","42.9%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.1%","14.3%","-","-","-","-","-"
"2022-05-17","Yes","-","-","-","-","-","9.3%","-","-","-","14.3%","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-05-16","Yes","-","-","-","-","-","9.3%","2.9%","14.3%","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-05-13","Yes","-","14.3%","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-05-12","No","-","-","-","-","-","-","-","-","-","-","-","-","43.7%","-","-","-","-","-","-","-","42.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2022-05-11","Yes","-","-","-","-","-","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2022-05-10","Yes","-","14.3%","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","2.9%","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","21.4%","14.3%","-","-","-","-"
"2022-05-09","Yes","-","14.3%","-","-","-","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2022-05-06","Yes","-","-","-","-","-","7.1%","-","-","-","-","-","-","50.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","7.1%","21.4%","-","-","-","-","-"
"2022-05-05","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","24.3%","14.3%","-","-","-","-"
"2022-05-04","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","24.3%","14.3%","-","-","-","-"
"2022-05-03","Yes","-","-","-","-","-","7.1%","-","-","-","-","-","-","50.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","7.1%","21.4%","-","-","-","-","-"
"2022-05-02","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","2.9%","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","21.4%","14.3%","-","-","-","-"
"2022-04-29","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","28.6%","-","-","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","9.3%","21.4%","14.3%","-","-","-","-"
"2022-04-28","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","14.3%","-","-","-","-","28.6%","-","-","-","9.3%","17.1%","-","-","-","-","-"
"2022-04-27","Yes","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","-","14.3%","-","-","-","-","-"
"2022-04-26","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","-","14.3%","-","-","-","-","-"
"2022-04-25","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","2.9%","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","9.3%","21.4%","14.3%","-","-","-","-"
"2022-04-22","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","28.6%","-","-","2.9%","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","21.4%","-","-","-","-","-"
"2022-04-21","Yes","-","-","14.3%","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57.1%","-","-","-","-","14.3%","-","-","-","-","-"
"2022-04-20","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","57.1%","-","-","-","-","14.3%","-","-","-","-","-"
"2022-04-19","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-04-18","Yes","-","-","14.3%","-","-","9.3%","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-04-14","No","-","-","13.9%","-","-","-","-","-","-","-","-","-","13.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","58.0%","-","-","-","-","14.2%","-","-","-","-","-"
"2022-04-13","Yes","-","-","14.3%","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57.1%","-","-","-","-","14.3%","-","-","-","-","-"
"2022-04-12","Yes","-","-","14.3%","-","28.6%","2.1%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.1%","17.1%","14.3%","-","-","-","-"
"2022-04-11","Yes","-","-","-","-","28.6%","2.1%","-","-","-","-","-","-","21.4%","-","-","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","2.1%","14.3%","14.3%","-","-","-","-"
"2022-04-08","Yes","-","-","14.3%","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57.1%","-","-","-","-","14.3%","-","-","-","-","-"
"2022-04-07","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","57.1%","-","-","-","-","14.3%","-","-","-","-","-"
"2022-04-06","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-04-05","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-04-04","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","24.3%","-","-","-","-","-"
"2022-04-01","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","7.1%","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","9.3%","24.3%","-","-","-","-","-"
"2022-03-31","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","14.3%","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-03-30","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-03-29","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","14.3%","-","-","-","-","14.3%","-","-","-","9.3%","31.4%","14.3%","-","-","-","-"
"2022-03-28","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-03-25","No","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.7%","-","-","-","-","-","-","-","-","-","7.2%","-","-","-","14.2%","-","-","-","-","-","-","-","-","9.3%","24.0%","14.2%","-","-","-","-"
"2022-03-24","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-03-23","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","7.1%","14.3%","-","-","-","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-03-22","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","14.3%","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-03-21","No","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.9%","-","-","14.8%","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","23.5%","14.2%","-","-","-","-"
"2022-03-18","No","-","-","-","-","-","9.3%","-","-","-","-","-","-","22.0%","-","-","14.4%","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","23.7%","14.3%","-","-","-","-"
"2022-03-17","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","14.3%","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-03-16","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","17.1%","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","21.4%","14.3%","-","-","-","-"
"2022-03-15","No","-","-","-","-","-","7.2%","-","-","-","-","-","-","50.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.2%","7.2%","20.8%","-","-","-","-","-"
"2022-03-14","Yes","-","-","-","-","-","7.1%","-","-","-","-","-","-","50.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","7.1%","21.4%","-","-","-","-","-"
"2022-03-11","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.1%","9.3%","21.4%","14.3%","-","-","-","-"
"2022-03-10","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","28.6%","-","-","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","21.4%","14.3%","-","-","-","-"
"2022-03-09","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","24.3%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","21.4%","14.3%","-","-","-","-"
"2022-03-08","Yes","-","-","-","-","-","7.1%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","7.1%","14.3%","-","-","-","-","-"
"2022-03-07","Yes","-","-","-","-","-","9.3%","-","14.3%","-","-","-","-","17.1%","-","-","-","-","-","-","-","35.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2022-03-04","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-03-03","Yes","-","-","-","-","-","9.3%","-","-","-","14.3%","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-03-02","Yes","-","-","-","-","-","9.3%","-","14.3%","-","-","-","-","24.3%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","21.4%","14.3%","-","-","-","-"
"2022-03-01","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-02-28","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2022-02-25","Yes","-","-","-","-","-","9.3%","2.9%","14.3%","-","-","-","-","21.4%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","21.4%","14.3%","-","-","-","-"
"2022-02-24","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","-","-","-","9.3%","17.1%","-","-","-","-","-"
"2022-02-23","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","-","14.3%","-","-","-","-","-"
"2022-02-22","Yes","-","14.3%","-","-","-","9.3%","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.9%","9.3%","21.4%","14.3%","-","-","-","-"
"2022-02-18","Yes","-","14.3%","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","2.9%","9.3%","10.7%","14.3%","-","-","-","-"
"2022-02-17","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","14.3%","-","-","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2022-02-16","Yes","-","14.3%","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","-","-","10.7%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2022-02-15","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","-","-","10.7%","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","13.6%","14.3%","-","-","-","-"
"2022-02-14","No","-","-","-","-","14.4%","9.3%","-","-","-","-","-","-","21.6%","-","-","-","-","-","13.8%","-","-","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.4%","-","-","-","-"
"2022-02-11","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","14.3%","-","-","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2022-02-10","No","-","-","-","-","-","9.2%","-","-","-","-","-","-","13.8%","-","-","-","-","-","14.3%","-","-","-","10.6%","-","-","-","-","-","-","-","-","-","-","-","14.9%","9.2%","13.8%","14.3%","-","-","-","-"
"2022-02-09","No","-","-","-","-","-","9.4%","-","-","-","-","-","-","14.5%","-","-","-","-","-","14.5%","-","-","-","10.6%","-","-","-","-","-","-","-","-","-","-","-","14.2%","9.3%","13.3%","14.3%","-","-","-","-"
"2022-02-08","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","-","-","10.7%","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","13.6%","14.3%","-","-","-","-"
"2022-02-07","No","-","-","-","-","-","9.2%","-","-","-","-","-","-","21.6%","-","-","-","-","-","14.6%","-","-","-","3.5%","-","-","-","-","-","-","-","-","-","-","-","14.2%","9.3%","13.3%","14.2%","-","-","-","-"
"2022-02-04","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","14.3%","-","-","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","13.6%","14.3%","-","-","-","-"
"2022-02-03","Yes","-","-","-","-","-","7.1%","-","-","-","-","-","-","50.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","7.1%","21.4%","-","-","-","-","-"
"2022-02-02","No","-","-","-","-","-","9.3%","2.9%","-","-","14.1%","-","-","14.3%","-","-","-","-","-","-","-","21.8%","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","10.7%","14.2%","-","-","-","-"
"2022-02-01","Yes","-","-","-","-","-","9.3%","2.9%","-","-","14.3%","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","10.7%","14.3%","-","-","-","-"
"2022-01-31","Yes","-","-","-","-","-","9.3%","-","-","-","14.3%","-","-","21.4%","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2022-01-28","Yes","-","-","-","-","42.9%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2022-01-27","Yes","-","-","-","-","-","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2022-01-26","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","-","14.3%","-","-","-","-","-"
"2022-01-25","Yes","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","-","14.3%","-","-","-","-","-"
"2022-01-24","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","-","14.3%","-","-","-","-","-"
"2022-01-21","Yes","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","28.6%","-","14.3%","-","-","-","-","-"
"2022-01-20","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","14.3%","-","-","-","-","-"
"2022-01-19","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","3.6%","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","10.7%","-","-","-","-","-"
"2022-01-18","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","14.3%","-","-","-","3.6%","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2022-01-14","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","-","7.1%","3.6%","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2022-01-13","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","14.3%","-","-","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","13.6%","14.3%","-","-","-","-"
"2022-01-12","Yes","-","-","-","-","-","9.3%","-","-","-","14.3%","-","-","14.3%","-","-","-","-","-","14.3%","-","-","7.1%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2022-01-11","Yes","-","14.3%","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","-","7.1%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2022-01-10","No","-","14.6%","-","-","-","9.2%","-","-","-","-","-","-","14.5%","-","-","-","-","-","14.5%","-","-","7.2%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","13.0%","14.2%","-","-","-","-"
"2022-01-07","No","-","14.6%","-","-","-","9.2%","-","-","-","-","-","-","14.4%","-","-","-","-","-","14.6%","-","-","7.1%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","13.2%","14.2%","-","-","-","-"
"2022-01-06","Yes","-","14.3%","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","-","7.1%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2022-01-05","Yes","-","14.3%","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","3.6%","-","-","-","-","-","-","-","-","57.1%","-","-","-","-","10.7%","-","-","-","-","-"
"2022-01-04","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","3.6%","-","-","-","14.3%","-","-","-","-","57.1%","-","-","-","-","10.7%","-","-","-","-","-"
"2022-01-03","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","7.1%","3.6%","14.3%","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2021-12-31","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","10.7%","-","14.3%","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","14.3%","-","-","-","-"
"2021-12-30","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","7.1%","3.6%","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","13.6%","14.3%","-","-","-","-"
"2021-12-29","Yes","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","3.6%","-","-","-","-","-","-","-","-","57.1%","-","-","14.3%","-","10.7%","-","-","-","-","-"
"2021-12-28","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","7.1%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","-","-","-","-","-"
"2021-12-27","Yes","-","-","-","-","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","35.7%","-","3.6%","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","10.7%","-","-","-","-","-"
"2021-12-23","No","-","-","-","-","14.6%","9.2%","2.8%","-","-","-","-","-","14.2%","-","-","-","-","-","-","-","35.9%","-","3.5%","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","10.6%","-","-","-","-","-"
"2021-12-22","Yes","-","-","-","-","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","35.7%","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","10.7%","-","-","-","-","-"
"2021-12-21","Yes","-","-","-","-","14.3%","7.1%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","7.1%","39.3%","-","-","-","-","-"
"2021-12-20","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","10.7%","14.3%","-","-","-","-"
"2021-12-17","Yes","-","-","-","-","14.3%","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","2.9%","9.3%","10.7%","14.3%","-","-","-","-"
"2021-12-16","Yes","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","3.6%","-","-","-","-","-","-","-","-","57.1%","-","-","-","-","10.7%","-","-","-","-","-"
